Upregulated_in_murine_Dendritic_cells,Downregulated_in_murine_Dendritic_cells,Upregulated_in_human_Dendritic_cells,Downregulated_in_human_Dendritic_cells,Upregulated_in_human_Monocytes,Downregulated_in_human_Monocytes
Akt1,Grk5,AKT1,CDC42BPB,GRK5,CIT
Akt3,Grk6,AKT3,CIT,PRKCZ,PDPK1
Prkx,Mast3,LATS1,GRK5,SGK3,PRKCD
Rps6ka2,Pkn1,PKN1,GRK6,PRKD2,PRKCQ
Sgk1,Prkaca,PRKCD,MAST3,CSNK1A1,PRKG1
Sgk3,Prkacb,PRKCQ,MAST4,CSNK1D,PRKX
Cask,Prkaca,PIM1,PDPK1,CDK13,ROCK2
Mapkapk2,Prkcb,PRKD3,PRKACA,CDK16,RPS6KA4
Mylk,Prkch,STK17A,PRKACB,CDK6,RPS6KA5
Pim1,Rps6ka1,CDK11B,PRKCB,CDK9,RPS6KB1
Pim3,Rps6ka4,CDK17,PRKCE,MAPK7,CAMK1D
Sik3,Camk1,CDK2,PRKCH,NEK6,CHEK2
Trib1,Camk1d,CDK7,PRKG1,MAP2K4,DAPK3
Csnk1d,Camk2g,CLK2,PRKX,MAP2K6,MAPKAPK2
Vrk2,Chek2,MAPK1,ROCK1,LIMK1,MAPKAPK3
Cdk11b,Dapk1,MAPK13,ROCK2,LRRK1,MAPKAPK5
Cdk11b,Mknk1,MAPK7,RPS6KA2,RAF1,STK17A
Gsk3b,Mknk2,MAP2K1,RPS6KA4,RIPK2,TTN
Mapk9,Prkaa1,MAP2K3,RPS6KA5,TGFBR1,CSNK1G2
Nek7,Prkd3,MAP3K1,RPS6KB1,EPHB2,VRK1
Map2k1,Speg,PBK,RPS6KB2,ITK,VRK3
Map2k2,Ttn,STK10,SGK3,MET,CDK1
Map3k5,Csnk1e,STK24,STK38,PDGFRB,CDK11A
Map3k8,Csnk1g2,STK4,CAMK1D,PTK7,CDK12
Map4k2,Vrk1,RIPK2,CHEK1,CDC7,CDK17
Stk3,Cdk1,TGFBR1,CHEK2,EIF2AK2,CDK2
Stk39,Cdk18,EPHA4,DAPK2,ERN1,CDK4
Stk4,Cdk2,IGF1R,DAPK3,PKMYT1,CDK5
Acvr1,Cdk20,JAK3,MAPKAPK2,STK16,CLK3
Bmpr2,Cdk4,LYN,MAPKAPK3,TLK2,MAPK1
Lrrk2,Cdk6,PTK2B,MAPKAPK5,TP53RK,MAPK13
Raf1,Clk2,SRC,PASK,TRPM7,MAPK14
Ripk2,Mapk14,SYK,PHKG2,BCKDK,MAPK3
Tesk1,Mapk3,TEC,PRKAA1,RIOK1,MAPK8
Epha4,Prpf4b,TXK,SIK3,DUSP10,MAPK9
Hck,Srpk2,CDC7,SNRK,,SRPK2
Kdr,Nek6,CSNK2A1,STK11,,MAP2K7
Met,Nek9,EIF2AK2,TRIO,,MAP3K1
Ptk2b,Map2k3,NRBP1,TTN,,MAP3K2
Src,Map3k1,PKMYT1,CSNK1A1,,MAP3K3
Bmp2k,Map3k14,RPS6KC1,CSNK1D,,MAP3K4
Eif2ak2,Map3k4,STK35,CSNK1G2,,MAP3K5
Ikbke,Map4k1,TTK,VRK1,,MAP3K7
Mlkl,Map4k4,TRPM7,VRK3,,MAP4K1
Plk2,Mink1,PIK3CA,CDK1,,MAP4K2
Plk3,Pak1,RIOK3,CDK11A,,MAP4K5
Plk4,Slk,DUSP1,CDK12,,MINK1
Tbck,Stk10,DUSP5,CDK13,,PAK1
Tbk1,Stk24,DUSP10,CDK16,,PAK2
Tlk2,Acvrl1,DUSP7,CDK19,,SLK
Wnk1,Araf,,CDK4,,STK10
Alpk2,Irak4,,CDK5,,STK24
Atm,Ksr1,,CDK6,,STK39
Dusp1,Ripk3,,CDK9,,STK4
Dusp14,Tesk2,,CLK1,,ILK
Dusp16,Tgfbr1,,DYRK1A,,IRAK3
Ptp4a2,Tgfbr2,,DYRK1B,,IRAK4
,Abl1,,GSK3B,,KSR1
,Btk,,MAPK14,,LRRK2
,Csf1r,,MAPK3,,FGR
,Fes,,MAPK9,,HCK
,Fgr,,PRPF4B,,MATK
,Tec,,NEK1,,SYK
,Aak1,,NEK7,,EIF2AK4
,Bub1b,,MAP2K4,,IKBKE
,Eif2ak3,,MAP2K5,,POMK
,Gak,,MAP2K6,,PXK
,Pdik1l,,MAP2K7,,TBCK
,Pik3r4,,MAP3K11,,TBK1
,Pink1,,MAP3K2,,PDK3
,Rnasel,,MAP3K3,,ATM
,Ulk1,,MAP3K4,,ATR
,Ulk2,,MAP3K5,,PIK3CA
,Bckdk,,MAP3K6,,PRKDC
,Pdk1,,MAP3K8,,DUSP1
,Pik3cg,,MAP4K1,,DUSP11
,Prkdc,,MAP4K2,,PTP4A2
,Riok3,,MAP4K4,,PTPMT1
,Dusp19,,MAP4K5,,RNGTT
,Dusp3,,PAK4,,SSH3
,,,SLK,,
,,,STK25,,
,,,BRAF,,
,,,ILK,,
,,,IRAK1,,
,,,IRAK3,,
,,,IRAK4,,
,,,LIMK1,,
,,,LRRK1,,
,,,LRRK2,,
,,,RAF1,,
,,,ABL1,,
,,,ABL2,,
,,,BMX,,
,,,CSK,,
,,,EPHA2,,
,,,FER,,
,,,FES,,
,,,FGR,,
,,,HCK,,
,,,INSR,,
,,,ITK,,
,,,JAK1,,
,,,LCK,,
,,,LMTK2,,
,,,MATK,,
,,,NTRK1,,
,,,PDGFRB,,
,,,PTK7,,
,,,TYK2,,
,,,ZAP70,,
,,,AAK1,,
,,,BMP2K,,
,,,CAMKK2,,
,,,CHUK,,
,,,EIF2AK4,,
,,,ERN1,,
,,,GAK,,
,,,IKBKE,,
,,,MLKL,,
,,,PIK3R4,,
,,,POMK,,
,,,PXK,,
,,,RNASEL,,
,,,SCYL1,,
,,,SCYL2,,
,,,SCYL3,,
,,,STK16,,
,,,TLK1,,
,,,TP53RK,,
,,,ULK1,,
,,,ULK3,,
,,,WEE1,,
,,,EEF2K,,
,,,BCKDK,,
,,,PDK1,,
,,,PDK2,,
,,,PDK3,,
,,,ATM,,
,,,ATR,,
,,,MTOR,,
,,,PIK3CG,,
,,,PRKDC,,
,,,RIOK1,,
,,,DUSP4,,
,,,DUSP11,,
,,,DUSP12,,
,,,DUSP23,,
,,,PTP4A2,,
,,,PTPMT1,,
,,,SSH1,,
,,,SSH2,,
,,,SSH3,,
,,,STYX,,
